,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,Scaffold - mean,Scaffold - std
transporter,3.939983367919922,0.0,0.2929377350605934,0.18143459915611815,0.0,0.7070622649394066,0.6948051948051948,0.0,74.26160337552743,0.0
transcription,1.5730412006378174,0.0,0.4730878186968839,0.23125,0.0,0.5269121813031161,0.4838709677419355,0.0,78.75,0.0
transcription_3,2.8036742210388184,0.0,0.7640941434044882,0.585635359116022,0.0,0.23590585659551178,0.21628189550425272,0.0,96.13259668508287,0.0
GPCR_2,2.105515718460083,0.0,0.7915966386554621,0.6724137931034483,0.0,0.20840336134453785,0.20229681978798586,0.0,89.65517241379311,0.0
GPCR_3,2.692819356918335,0.0,0.5652435357787132,0.4731182795698925,0.0,0.4347564642212868,0.42929936305732486,0.0,84.94623655913979,0.0
ion_channel,1.8115618228912354,0.0,0.1590909090909091,0.23863636363636365,0.0,0.8409090909090909,0.8478260869565217,0.0,71.5909090909091,0.0
ion_channel_2,1.6653084754943848,0.0,0.21364653243847875,0.2222222222222222,0.0,0.7863534675615212,0.7867132867132867,0.0,83.33333333333333,0.0
ion_channel_3,1.7161178588867188,0.0,0.32430143945808637,0.4153846153846154,0.0,0.6756985605419137,0.686964795432921,0.0,84.61538461538461,0.0
kinase,0.32463788986206055,0.0,0.21621621621621623,0.14545454545454545,0.0,0.7837837837837838,0.7604790419161677,0.0,74.54545454545455,0.0
GPCR,2.7641959190368652,0.0,0.5113573407202217,0.47766323024054985,0.0,0.48864265927977835,0.4821664464993395,0.0,70.10309278350516,0.0
serine,1.958981990814209,0.0,0.9141494435612083,0.9090909090909091,0.0,0.08585055643879169,0.08557046979865772,0.0,95.45454545454545,0.0
transcription_4,2.094634771347046,0.0,0.8126361655773421,0.8979591836734694,0.0,0.18736383442265792,0.19390148553557468,0.0,88.77551020408163,0.0
ubiquitin,2.3746559619903564,0.0,0.7067108533554267,0.6829268292682927,0.0,0.2932891466445733,0.29155555555555557,0.0,58.53658536585366,0.0
splicing,2.921501398086548,0.0,0.1154394299287411,0.09624413145539906,0.0,0.8845605700712589,0.8796902918403812,0.0,57.74647887323944,0.0
transcription_2,1.4366605281829834,0.0,0.6223463687150838,0.5869565217391305,0.0,0.37765363128491625,0.3712021136063408,0.0,81.8840579710145,0.0
channel_atp,1.8992836475372314,0.0,0.4802804557405784,0.3419354838709677,0.0,0.5197195442594216,0.49797160243407707,0.0,78.70967741935483,0.0
cysteine_protease,1.181443452835083,0.0,0.4845869297163995,0.2265625,0.0,0.5154130702836005,0.4670571010248902,0.0,82.03125,0.0
zinc_finger,1.140897274017334,0.0,0.48903508771929827,0.42560553633217996,0.0,0.5109649122807017,0.48154093097913325,0.0,71.97231833910034,0.0
